,time,attention,score,best_time
0,-0.2,exo,0.5083333333333333,0.325
1,-0.195,exo,0.5083333333333334,0.325
2,-0.19,exo,0.5071428571428572,0.325
3,-0.185,exo,0.5064285714285715,0.325
4,-0.18,exo,0.5073809523809524,0.325
5,-0.175,exo,0.5164285714285715,0.325
6,-0.17,exo,0.5030952380952382,0.325
7,-0.165,exo,0.5023809523809524,0.325
8,-0.16,exo,0.5135714285714286,0.325
9,-0.155,exo,0.5061904761904762,0.325
10,-0.15,exo,0.5028571428571429,0.325
11,-0.145,exo,0.5033333333333333,0.325
12,-0.14,exo,0.5061904761904762,0.325
13,-0.135,exo,0.5109523809523809,0.325
14,-0.13,exo,0.5116666666666667,0.325
15,-0.125,exo,0.5061904761904762,0.325
16,-0.12,exo,0.5321428571428571,0.325
17,-0.115,exo,0.5311904761904762,0.325
18,-0.11,exo,0.5271428571428571,0.325
19,-0.105,exo,0.516904761904762,0.325
20,-0.1,exo,0.5316666666666666,0.325
21,-0.095,exo,0.5411904761904762,0.325
22,-0.09,exo,0.5423809523809523,0.325
23,-0.085,exo,0.5416666666666666,0.325
24,-0.08,exo,0.5416666666666666,0.325
25,-0.075,exo,0.5592857142857144,0.325
26,-0.07,exo,0.5602380952380953,0.325
27,-0.065,exo,0.5809523809523809,0.325
28,-0.06,exo,0.5707142857142857,0.325
29,-0.055,exo,0.5657142857142856,0.325
30,-0.05,exo,0.5652380952380952,0.325
31,-0.045,exo,0.5754761904761906,0.325
32,-0.04,exo,0.565,0.325
33,-0.035,exo,0.565952380952381,0.325
34,-0.03,exo,0.560952380952381,0.325
35,-0.025,exo,0.5547619047619048,0.325
36,-0.02,exo,0.5552380952380952,0.325
37,-0.015,exo,0.5647619047619049,0.325
38,-0.01,exo,0.555952380952381,0.325
39,-0.005,exo,0.5561904761904761,0.325
40,0.0,exo,0.5511904761904762,0.325
41,0.005,exo,0.5407142857142857,0.325
42,0.01,exo,0.5383333333333333,0.325
43,0.015,exo,0.5221428571428571,0.325
44,0.02,exo,0.516904761904762,0.325
45,0.025,exo,0.5123809523809524,0.325
46,0.03,exo,0.5157142857142857,0.325
47,0.035,exo,0.52,0.325
48,0.04,exo,0.5171428571428572,0.325
49,0.045,exo,0.5214285714285715,0.325
50,0.05,exo,0.5221428571428571,0.325
51,0.055,exo,0.5316666666666666,0.325
