electrode,value,freq,cued
P1,5.907434911003871e-15,60,60
POz,1.9889066986011248e-14,60,60
Pz,5.907202107003735e-15,60,60
PO4,5.619299022719828e-15,60,60
P2,3.3664306946651392e-15,60,60
P3,4.46959851243934e-15,60,60
P1,4.458220493744441e-15,64,60
POz,9.472503671635506e-15,64,60
Pz,3.930201979895226e-15,64,60
PO4,2.3448035013904533e-15,64,60
P2,1.508680314521846e-15,64,60
P3,4.0777038463464444e-15,64,60
P1,4.901423013714662e-15,60,64
POz,1.6479200313290897e-14,60,64
Pz,5.5045874686369795e-15,60,64
PO4,5.1466136287407196e-15,60,64
P2,2.9554943885256417e-15,60,64
P3,3.1714883906514907e-15,60,64
P1,5.049109338043141e-15,64,64
POz,1.480055179256808e-14,64,64
Pz,5.218024379895723e-15,64,64
PO4,4.419572074343613e-15,64,64
P2,2.8829945506076e-15,64,64
P3,4.60783810943728e-15,64,64
