channel,attention,cued_side,timepoint,erp,time
O2,0,0,0,-1.0005643720270093e-06,-0.1
PO4,0,0,0,-7.50013636620558e-07,-0.1
P4,0,0,0,-3.849303405481903e-08,-0.1
P6,0,0,0,1.7349231887976036e-07,-0.1
P2,0,0,0,-4.469208844270747e-07,-0.1
P1,0,0,0,-3.048258522561254e-07,-0.1
P3,0,0,0,-2.7034082571296563e-07,-0.1
P5,0,0,0,-4.95269087402065e-07,-0.1
PO3,0,0,0,-4.7053002039190275e-07,-0.1
O1,0,0,0,-9.274999775437394e-07,-0.1
Pz,0,0,0,-4.2610096559419784e-07,-0.1
POz,0,0,0,-4.594886169609064e-07,-0.1
Oz,0,0,0,-1.047016349604597e-06,-0.1
Iz,0,0,0,-1.010994289594925e-06,-0.1
O2,0,0,1,-1.2989941934483563e-06,-0.095
PO4,0,0,1,-1.1362425219458495e-06,-0.095
P4,0,0,1,-2.542814999996763e-07,-0.095
P6,0,0,1,-7.719257948988214e-08,-0.095
P2,0,0,1,-7.387481474987689e-07,-0.095
P1,0,0,1,-8.287390997810104e-07,-0.095
P3,0,0,1,-6.941234809664448e-07,-0.095
P5,0,0,1,-4.428912654185494e-07,-0.095
PO3,0,0,1,-8.709690584850892e-07,-0.095
O1,0,0,1,-1.468433309658149e-06,-0.095
Pz,0,0,1,-8.586023585444136e-07,-0.095
POz,0,0,1,-8.69908211214177e-07,-0.095
Oz,0,0,1,-1.243630007347126e-06,-0.095
Iz,0,0,1,-1.1841904446967484e-06,-0.095
O2,0,0,2,-1.2944035216529618e-06,-0.09000000000000001
PO4,0,0,2,-1.0524900213433884e-06,-0.09000000000000001
P4,0,0,2,1.9558340512410144e-07,-0.09000000000000001
P6,0,0,2,6.154941059902809e-07,-0.09000000000000001
P2,0,0,2,-8.315902800291035e-07,-0.09000000000000001
P1,0,0,2,-8.180373524774493e-07,-0.09000000000000001
P3,0,0,2,-1.0549085766351301e-06,-0.09000000000000001
P5,0,0,2,-4.227231283869642e-07,-0.09000000000000001
PO3,0,0,2,-1.002540902991182e-06,-0.09000000000000001
O1,0,0,2,-1.7882133438033738e-06,-0.09000000000000001
Pz,0,0,2,-8.678035631782248e-07,-0.09000000000000001
POz,0,0,2,-8.962032758948787e-07,-0.09000000000000001
Oz,0,0,2,-1.2497126572541344e-06,-0.09000000000000001
Iz,0,0,2,-1.265082374702088e-06,-0.09000000000000001
O2,0,0,3,-1.5332458991486998e-06,-0.085
PO4,0,0,3,-1.4357026497319684e-06,-0.085
P4,0,0,3,-3.9894317151179145e-07,-0.085
P6,0,0,3,-2.0513019676049954e-07,-0.085
P2,0,0,3,-1.0873811348394483e-06,-0.085
P1,0,0,3,-1.0599822175182865e-06,-0.085
P3,0,0,3,-1.2104810143119195e-06,-0.085
P5,0,0,3,-9.947337731039693e-07,-0.085
