,time,attention,score,best_time
0,-0.2,exo,0.5285497835497835,0.485
1,-0.195,exo,0.5303679653679654,0.485
2,-0.19,exo,0.5229047619047619,0.485
3,-0.185,exo,0.5259220779220779,0.485
4,-0.18,exo,0.5217229437229438,0.485
5,-0.175,exo,0.5036038961038961,0.485
6,-0.17,exo,0.512525974025974,0.485
7,-0.165,exo,0.5121969696969698,0.485
8,-0.16,exo,0.5184285714285715,0.485
9,-0.155,exo,0.5216082251082251,0.485
10,-0.15,exo,0.5232445887445888,0.485
11,-0.145,exo,0.5134329004329005,0.485
12,-0.14,exo,0.5271125541125541,0.485
13,-0.135,exo,0.5103831168831169,0.485
14,-0.13,exo,0.5294502164502165,0.485
15,-0.125,exo,0.5386320346320348,0.485
16,-0.12,exo,0.53,0.485
17,-0.115,exo,0.5261212121212122,0.485
18,-0.11,exo,0.5162640692640693,0.485
19,-0.105,exo,0.5212251082251081,0.485
20,-0.1,exo,0.5167965367965367,0.485
21,-0.095,exo,0.5125757575757575,0.485
22,-0.09,exo,0.5032186147186147,0.485
23,-0.085,exo,0.500961038961039,0.485
24,-0.08,exo,0.5074025974025973,0.485
25,-0.075,exo,0.5049004329004328,0.485
26,-0.07,exo,0.5028051948051948,0.485
27,-0.065,exo,0.5027359307359307,0.485
28,-0.06,exo,0.5164805194805194,0.485
29,-0.055,exo,0.519917748917749,0.485
30,-0.05,exo,0.5112683982683983,0.485
31,-0.045,exo,0.5244761904761905,0.485
32,-0.04,exo,0.5091796536796537,0.485
33,-0.035,exo,0.5012142857142857,0.485
34,-0.03,exo,0.5005649350649352,0.485
35,-0.025,exo,0.5142705627705627,0.485
36,-0.02,exo,0.5220541125541125,0.485
37,-0.015,exo,0.5224783549783549,0.485
38,-0.01,exo,0.5185995670995671,0.485
39,-0.005,exo,0.5209718614718615,0.485
40,0.0,exo,0.5118311688311687,0.485
41,0.005,exo,0.5178376623376624,0.485
42,0.01,exo,0.5307662337662338,0.485
43,0.015,exo,0.522982683982684,0.485
44,0.02,exo,0.5216991341991342,0.485
45,0.025,exo,0.5355281385281385,0.485
46,0.03,exo,0.5343744588744588,0.485
47,0.035,exo,0.527077922077922,0.485
48,0.04,exo,0.5263787878787879,0.485
49,0.045,exo,0.5218744588744589,0.485
50,0.05,exo,0.517883116883117,0.485
51,0.055,exo,0.5143831168831168,0.485
52,0.06,exo,0.5102662337662338,0.485
53,0.065,exo,0.505099567099567,0.485
54,0.07,exo,0.5147121212121212,0.485
55,0.075,exo,0.5142337662337663,0.485
56,0.08,exo,0.5051753246753247,0.485
57,0.085,exo,0.5037532467532467,0.485
58,0.09,exo,0.5182510822510823,0.485
59,0.095,exo,0.510525974025974,0.485
60,0.1,exo,0.50495670995671,0.485
61,0.105,exo,0.5041406926406926,0.485
62,0.11,exo,0.509008658008658,0.485
63,0.115,exo,0.5214047619047619,0.485
64,0.12,exo,0.5221536796536796,0.485
65,0.125,exo,0.5258333333333334,0.485
66,0.13,exo,0.5404523809523809,0.485
67,0.135,exo,0.5447813852813852,0.485
68,0.14,exo,0.5487142857142857,0.485
69,0.145,exo,0.5413138528138528,0.485
70,0.15,exo,0.545530303030303,0.485
71,0.155,exo,0.5408354978354979,0.485
72,0.16,exo,0.5492142857142858,0.485
73,0.165,exo,0.5670627705627707,0.485
74,0.17,exo,0.5586082251082252,0.485
75,0.175,exo,0.5685021645021645,0.485
76,0.18,exo,0.5597532467532468,0.485
77,0.185,exo,0.5692813852813853,0.485
78,0.19,exo,0.5561190476190475,0.485
79,0.195,exo,0.5658138528138528,0.485
80,0.2,exo,0.565430735930736,0.485
81,0.205,exo,0.5650974025974026,0.485
82,0.21,exo,0.5667748917748918,0.485
83,0.215,exo,0.564564935064935,0.485
84,0.22,exo,0.5608766233766234,0.485
85,0.225,exo,0.5606688311688313,0.485
86,0.23,exo,0.5523896103896104,0.485
87,0.235,exo,0.5605194805194804,0.485
88,0.24,exo,0.5573852813852815,0.485
89,0.245,exo,0.5523354978354978,0.485
90,0.25,exo,0.5256255411255412,0.485
91,0.255,exo,0.5181038961038962,0.485
92,0.26,exo,0.5261038961038962,0.485
93,0.265,exo,0.5213463203463203,0.485
94,0.27,exo,0.5166471861471862,0.485
95,0.275,exo,0.5118679653679654,0.485
96,0.28,exo,0.5043225108225109,0.485
97,0.285,exo,0.5035021645021646,0.485
98,0.29,exo,0.5072943722943724,0.485
99,0.295,exo,0.5099848484848485,0.485
100,0.3,exo,0.5139718614718615,0.485
101,0.305,exo,0.5095389610389611,0.485
102,0.31,exo,0.506134199134199,0.485
103,0.315,exo,0.515017316017316,0.485
104,0.32,exo,0.5149545454545454,0.485
105,0.325,exo,0.526517316017316,0.485
106,0.33,exo,0.5213268398268397,0.485
107,0.335,exo,0.5292770562770562,0.485
108,0.34,exo,0.5418722943722944,0.485
109,0.345,exo,0.5343766233766234,0.485
110,0.35,exo,0.5234696969696969,0.485
111,0.355,exo,0.5153246753246753,0.485
112,0.36,exo,0.5152532467532468,0.485
113,0.365,exo,0.5157034632034632,0.485
114,0.37,exo,0.5157034632034632,0.485
115,0.375,exo,0.513430735930736,0.485
116,0.38,exo,0.5127099567099567,0.485
117,0.385,exo,0.5081688311688313,0.485
118,0.39,exo,0.5303831168831168,0.485
119,0.395,exo,0.5564567099567099,0.485
120,0.4,exo,0.5640194805194805,0.485
121,0.405,exo,0.5690519480519481,0.485
122,0.41,exo,0.5700974025974026,0.485
123,0.415,exo,0.5771147186147185,0.485
124,0.42,exo,0.5814264069264069,0.485
125,0.425,exo,0.6053571428571429,0.485
126,0.43,exo,0.5963787878787878,0.485
127,0.435,exo,0.599,0.485
128,0.44,exo,0.6399718614718615,0.485
129,0.445,exo,0.6431147186147188,0.485
130,0.45,exo,0.6372121212121213,0.485
131,0.455,exo,0.6578073593073592,0.485
132,0.46,exo,0.6698246753246753,0.485
133,0.465,exo,0.6751233766233766,0.485
134,0.47,exo,0.6699372294372294,0.485
135,0.475,exo,0.6611125541125541,0.485
136,0.48,exo,0.6620454545454546,0.485
137,0.485,exo,0.6608463203463204,0.485
138,0.49,exo,0.6573290043290043,0.485
139,0.495,exo,0.6447337662337662,0.485
140,0.5,exo,0.627025974025974,0.485
141,0.505,exo,0.6274047619047619,0.485
142,0.51,exo,0.6237878787878788,0.485
143,0.515,exo,0.6148311688311688,0.485
144,0.52,exo,0.6111428571428572,0.485
145,0.525,exo,0.603504329004329,0.485
146,0.53,exo,0.5906385281385281,0.485
147,0.535,exo,0.5858766233766235,0.485
148,0.54,exo,0.6093073593073592,0.485
149,0.545,exo,0.6093701298701298,0.485
150,0.55,exo,0.5909675324675325,0.485
151,0.555,exo,0.5965454545454545,0.485
152,0.56,exo,0.600974025974026,0.485
153,0.565,exo,0.6053528138528138,0.485
154,0.57,exo,0.5880995670995672,0.485
155,0.575,exo,0.5814935064935065,0.485
156,0.58,exo,0.5707380952380953,0.485
157,0.585,exo,0.5571471861471862,0.485
158,0.59,exo,0.566909090909091,0.485
159,0.595,exo,0.566125541125541,0.485
160,0.6,exo,0.566025974025974,0.485
161,0.605,exo,0.566138528138528,0.485
162,0.61,exo,0.5613766233766233,0.485
163,0.615,exo,0.56254329004329,0.485
164,0.62,exo,0.554409090909091,0.485
165,0.625,exo,0.5533268398268398,0.485
166,0.63,exo,0.5550714285714285,0.485
167,0.635,exo,0.5447597402597403,0.485
168,0.64,exo,0.5491103896103896,0.485
169,0.645,exo,0.5487770562770562,0.485
170,0.65,exo,0.5592207792207793,0.485
171,0.655,exo,0.5630670995670995,0.485
172,0.66,exo,0.5625670995670996,0.485
173,0.665,exo,0.5671623376623377,0.485
174,0.67,exo,0.5730909090909091,0.485
175,0.675,exo,0.5822316017316018,0.485
176,0.68,exo,0.5781147186147186,0.485
177,0.685,exo,0.5651190476190477,0.485
178,0.69,exo,0.5701017316017316,0.485
179,0.695,exo,0.5676450216450217,0.485
180,0.7,exo,0.5673787878787879,0.485
181,0.705,exo,0.5749004329004329,0.485
182,0.71,exo,0.574521645021645,0.485
183,0.715,exo,0.5690606060606062,0.485
184,0.72,exo,0.5704891774891776,0.485
185,0.725,exo,0.5524069264069265,0.485
186,0.73,exo,0.5417337662337662,0.485
187,0.735,exo,0.5339545454545453,0.485
188,0.74,exo,0.5345497835497836,0.485
189,0.745,exo,0.5430411255411256,0.485
190,0.75,exo,0.557547619047619,0.485
191,0.755,exo,0.557051948051948,0.485
192,0.76,exo,0.5371926406926406,0.485
193,0.765,exo,0.5336298701298701,0.485
194,0.77,exo,0.5330800865800865,0.485
195,0.775,exo,0.5321017316017316,0.485
196,0.78,exo,0.5207445887445887,0.485
197,0.785,exo,0.5271774891774892,0.485
198,0.79,exo,0.5253333333333332,0.485
199,0.795,exo,0.5298203463203464,0.485
200,0.8,exo,0.5256580086580087,0.485
201,-0.2,endo,0.5354084321475625,0.485
202,-0.195,endo,0.5503458498023714,0.485
203,-0.19,endo,0.5698616600790514,0.485
204,-0.185,endo,0.5709980237154151,0.485
205,-0.18,endo,0.5744565217391304,0.485
206,-0.175,endo,0.5749670619235837,0.485
207,-0.17,endo,0.5804841897233202,0.485
208,-0.165,endo,0.5784420289855072,0.485
209,-0.16,endo,0.5623353096179183,0.485
210,-0.155,endo,0.5569828722002635,0.485
211,-0.15,endo,0.5578886693017128,0.485
212,-0.145,endo,0.5577733860342556,0.485
213,-0.14,endo,0.5545619235836627,0.485
214,-0.135,endo,0.531060606060606,0.485
215,-0.13,endo,0.5232872200263505,0.485
216,-0.125,endo,0.5149703557312253,0.485
217,-0.12,endo,0.5058300395256917,0.485
218,-0.115,endo,0.5181324110671938,0.485
219,-0.11,endo,0.511133069828722,0.485
220,-0.105,endo,0.5061923583662714,0.485
221,-0.1,endo,0.5022233201581028,0.485
222,-0.095,endo,0.502058629776021,0.485
223,-0.09,endo,0.5033102766798419,0.485
224,-0.085,endo,0.5055335968379447,0.485
225,-0.08,endo,0.5072628458498023,0.485
226,-0.075,endo,0.5131587615283267,0.485
227,-0.07,endo,0.5129940711462451,0.485
228,-0.065,endo,0.5012516469038208,0.485
229,-0.06,endo,0.5002470355731227,0.485
230,-0.055,endo,0.5089591567852438,0.485
231,-0.05,endo,0.5093544137022399,0.485
