electrode,value,freq,cued
P1,77.05087830763037,60,60
POz,138.38647464930736,60,60
PO3,190.87703030070486,60,60
P2,146.92049879888103,60,60
Pz,55.22687102601347,60,60
PO4,131.1709291267477,60,60
P1,57.88335842080587,64,60
POz,68.97810486655733,64,60
PO3,43.0496127616917,64,60
P2,138.15298207474953,64,60
Pz,103.79236096397555,64,60
PO4,61.14879506422067,64,60
P1,27.115273666153467,60,64
POz,36.49535839702124,60,64
PO3,19.89108816943332,60,64
P2,39.56189967893689,60,64
Pz,21.168578055867386,60,64
PO4,36.30810625073628,60,64
P1,35.223273857576,64,64
POz,40.636531588260674,64,64
PO3,40.28521561501178,64,64
P2,39.532593988349845,64,64
Pz,27.457215068827203,64,64
PO4,60.891893280356335,64,64
