channel,attention,cued_side,timepoint,erp,time
PO4,0,0,8,-1.1520373882139311e-06,-0.060000000000000005
P4,0,0,8,-2.7387144458608507e-07,-0.060000000000000005
P6,0,0,8,-3.4810671320973753e-07,-0.060000000000000005
P2,0,0,8,-5.944349836845334e-07,-0.060000000000000005
P1,0,0,8,-9.803614102323699e-07,-0.060000000000000005
P3,0,0,8,-3.776904322189154e-07,-0.060000000000000005
P5,0,0,8,-8.846740808232086e-07,-0.060000000000000005
PO3,0,0,8,-1.6019842178755658e-06,-0.060000000000000005
O1,0,0,8,-1.4457185697118142e-06,-0.060000000000000005
Pz,0,0,8,-9.961324079922784e-07,-0.060000000000000005
POz,0,0,8,-1.5131336575960795e-06,-0.060000000000000005
Oz,0,0,8,-1.492926188457942e-06,-0.060000000000000005
Iz,0,0,8,-9.33277411867609e-07,-0.060000000000000005
O2,0,0,9,-5.404909327176509e-07,-0.05500000000000001
PO4,0,0,9,-8.849290098211124e-07,-0.05500000000000001
P4,0,0,9,-2.147360475607444e-07,-0.05500000000000001
P6,0,0,9,-1.6486420408937697e-07,-0.05500000000000001
P2,0,0,9,-3.1603711591295967e-07,-0.05500000000000001
P1,0,0,9,-7.61437181598213e-07,-0.05500000000000001
P3,0,0,9,-2.2789000357518653e-07,-0.05500000000000001
P5,0,0,9,-5.683460682505792e-07,-0.05500000000000001
PO3,0,0,9,-1.392162306113565e-06,-0.05500000000000001
O1,0,0,9,-1.1160081516834495e-06,-0.05500000000000001
Pz,0,0,9,-8.63774218939491e-07,-0.05500000000000001
POz,0,0,9,-1.1575975609588726e-06,-0.05500000000000001
Oz,0,0,9,-1.2272085860805155e-06,-0.05500000000000001
Iz,0,0,9,-5.709471129515584e-07,-0.05500000000000001
O2,0,0,10,-4.7287659086791226e-07,-0.05
PO4,0,0,10,-7.948502033223204e-07,-0.05
P4,0,0,10,-1.7957708392135228e-07,-0.05
P6,0,0,10,-3.509477835786706e-07,-0.05
P2,0,0,10,-1.0086358842475129e-07,-0.05
P1,0,0,10,-5.405712884864317e-07,-0.05
P3,0,0,10,-1.544992426996911e-07,-0.05
P5,0,0,10,-8.031298086905852e-07,-0.05
PO3,0,0,10,-1.3833841405422307e-06,-0.05
O1,0,0,10,-1.254979392984364e-06,-0.05
Pz,0,0,10,-6.842257934544141e-07,-0.05
POz,0,0,10,-1.0654410205002188e-06,-0.05
Oz,0,0,10,-1.4217505375652273e-06,-0.05
Iz,0,0,10,-1.0222517634802537e-06,-0.05
O2,0,0,11,9.245379477331183e-08,-0.045000000000000005
PO4,0,0,11,-2.2822481367305794e-07,-0.045000000000000005
P4,0,0,11,3.303273506518157e-07,-0.045000000000000005
P6,0,0,11,5.2047346623996845e-08,-0.045000000000000005
P2,0,0,11,1.4261024898485273e-07,-0.045000000000000005
P1,0,0,11,-1.619822052670884e-07,-0.045000000000000005
P3,0,0,11,-8.557049956503433e-08,-0.045000000000000005
P5,0,0,11,-4.943368200089849e-07,-0.045000000000000005
PO3,0,0,11,-9.363610494718187e-07,-0.045000000000000005
O1,0,0,11,-7.298696750240392e-07,-0.045000000000000005
Pz,0,0,11,-4.267680104693856e-07,-0.045000000000000005
POz,0,0,11,-5.86626398735432e-07,-0.045000000000000005
Oz,0,0,11,-1.0043567631281201e-06,-0.045000000000000005
Iz,0,0,11,-8.053682200178769e-07,-0.045000000000000005
O2,0,0,12,2.669542339214754e-07,-0.04000000000000001
PO4,0,0,12,5.474410175437315e-08,-0.04000000000000001
P4,0,0,12,5.38898986622274e-07,-0.04000000000000001
P6,0,0,12,3.6381259284254595e-07,-0.04000000000000001
P2,0,0,12,5.395511699379127e-07,-0.04000000000000001
P1,0,0,12,1.1909163044584111e-07,-0.04000000000000001
P3,0,0,12,6.357283572616491e-08,-0.04000000000000001
P5,0,0,12,-2.4857079305599346e-07,-0.04000000000000001
PO3,0,0,12,-7.116294647256007e-07,-0.04000000000000001
O1,0,0,12,-7.105247364953873e-07,-0.04000000000000001
