,time,attention,score,best_time
0,-0.2,exo,0.5160303030303031,-0.435
1,-0.195,exo,0.5110800865800865,-0.435
2,-0.19,exo,0.5029891774891775,-0.435
3,-0.185,exo,0.510551948051948,-0.435
4,-0.18,exo,0.5183809523809523,-0.435
5,-0.175,exo,0.5195800865800866,-0.435
6,-0.17,exo,0.5086774891774891,-0.435
7,-0.165,exo,0.5142727272727272,-0.435
8,-0.16,exo,0.5096103896103896,-0.435
9,-0.155,exo,0.502521645021645,-0.435
10,-0.15,exo,0.5118246753246753,-0.435
11,-0.145,exo,0.5109588744588744,-0.435
12,-0.14,exo,0.5169199134199134,-0.435
13,-0.135,exo,0.5244826839826839,-0.435
14,-0.13,exo,0.509082251082251,-0.435
15,-0.125,exo,0.5161038961038961,-0.435
16,-0.12,exo,0.5021753246753247,-0.435
17,-0.115,exo,0.5104653679653681,-0.435
18,-0.11,exo,0.5077835497835498,-0.435
19,-0.105,exo,0.51504329004329,-0.435
20,-0.1,exo,0.5218614718614718,-0.435
21,-0.095,exo,0.5094199134199134,-0.435
22,-0.09,exo,0.5309112554112554,-0.435
23,-0.085,exo,0.5350606060606061,-0.435
24,-0.08,exo,0.522965367965368,-0.435
25,-0.075,exo,0.5310108225108225,-0.435
26,-0.07,exo,0.5434069264069264,-0.435
27,-0.065,exo,0.5490346320346321,-0.435
28,-0.06,exo,0.5407640692640692,-0.435
29,-0.055,exo,0.5313441558441558,-0.435
30,-0.05,exo,0.5271731601731602,-0.435
31,-0.045,exo,0.5351731601731602,-0.435
32,-0.04,exo,0.5451969696969696,-0.435
33,-0.035,exo,0.5365519480519481,-0.435
34,-0.03,exo,0.5355562770562771,-0.435
35,-0.025,exo,0.5384112554112553,-0.435
36,-0.02,exo,0.5523138528138529,-0.435
37,-0.015,exo,0.5543744588744589,-0.435
38,-0.01,exo,0.5583376623376624,-0.435
39,-0.005,exo,0.5352943722943723,-0.435
40,0.0,exo,0.5326580086580086,-0.435
41,0.005,exo,0.5291255411255411,-0.435
42,0.01,exo,0.5295584415584415,-0.435
43,0.015,exo,0.5243463203463203,-0.435
44,0.02,exo,0.5404588744588745,-0.435
45,0.025,exo,0.5235887445887447,-0.435
46,0.03,exo,0.5316558441558442,-0.435
47,0.035,exo,0.5405584415584416,-0.435
48,0.04,exo,0.5300454545454545,-0.435
49,0.045,exo,0.5326125541125541,-0.435
50,0.05,exo,0.5551450216450216,-0.435
51,0.055,exo,0.5325584415584416,-0.435
52,0.06,exo,0.521508658008658,-0.435
53,0.065,exo,0.5129285714285714,-0.435
54,0.07,exo,0.502935064935065,-0.435
55,0.075,exo,0.5044004329004329,-0.435
56,0.08,exo,0.5125779220779221,-0.435
57,0.085,exo,0.5190887445887445,-0.435
58,0.09,exo,0.5142229437229437,-0.435
59,0.095,exo,0.5217445887445887,-0.435
60,0.1,exo,0.5160995670995672,-0.435
61,0.105,exo,0.5301103896103896,-0.435
62,0.11,exo,0.5306774891774892,-0.435
63,0.115,exo,0.515991341991342,-0.435
