channel,attention,cued_side,timepoint,erp,time
O2,0,0,0,-3.249561362730438e-07,-0.1
PO4,0,0,0,-1.081811629621913e-06,-0.1
P4,0,0,0,-1.62254919258407e-06,-0.1
P6,0,0,0,-9.279785422202926e-07,-0.1
P2,0,0,0,-2.0007544261663255e-06,-0.1
P1,0,0,0,-2.1558459230086393e-06,-0.1
P3,0,0,0,-1.6754648214998418e-06,-0.1
P5,0,0,0,-7.849900032047192e-07,-0.1
PO3,0,0,0,-1.4735184074209372e-06,-0.1
O1,0,0,0,-5.627626278980139e-07,-0.1
Pz,0,0,0,-2.0906114290167346e-06,-0.1
POz,0,0,0,-1.4225934190853992e-06,-0.1
Oz,0,0,0,-3.650254993445379e-07,-0.1
Iz,0,0,0,4.0856225626650397e-07,-0.1
O2,0,0,1,-9.413742455781694e-08,-0.095
PO4,0,0,1,-1.1789444744594049e-06,-0.095
P4,0,0,1,-1.8213731825068401e-06,-0.095
P6,0,0,1,-9.140309902487838e-07,-0.095
P2,0,0,1,-2.113929059429302e-06,-0.095
P1,0,0,1,-2.1352309215345842e-06,-0.095
P3,0,0,1,-1.7891080025635202e-06,-0.095
P5,0,0,1,-7.814324996820158e-07,-0.095
PO3,0,0,1,-1.2512382611877014e-06,-0.095
O1,0,0,1,-1.204701656747701e-07,-0.095
Pz,0,0,1,-2.2032988116265106e-06,-0.095
POz,0,0,1,-1.3264599096159023e-06,-0.095
Oz,0,0,1,-1.5080552771235154e-07,-0.095
Iz,0,0,1,9.99117262162104e-07,-0.095
O2,0,0,2,-6.689973922257588e-08,-0.09000000000000001
PO4,0,0,2,-1.0840833129569928e-06,-0.09000000000000001
P4,0,0,2,-1.8754271271257466e-06,-0.09000000000000001
P6,0,0,2,-9.707816468282684e-07,-0.09000000000000001
P2,0,0,2,-2.0621813056107368e-06,-0.09000000000000001
P1,0,0,2,-2.1045338398678072e-06,-0.09000000000000001
P3,0,0,2,-1.730044850779144e-06,-0.09000000000000001
P5,0,0,2,-7.441641407259072e-07,-0.09000000000000001
PO3,0,0,2,-1.1088976894104386e-06,-0.09000000000000001
O1,0,0,2,-8.483423985144298e-08,-0.09000000000000001
Pz,0,0,2,-2.1693696230132607e-06,-0.09000000000000001
POz,0,0,2,-1.2026583261065196e-06,-0.09000000000000001
Oz,0,0,2,-5.230820068392214e-08,-0.09000000000000001
Iz,0,0,2,9.029411470222848e-07,-0.09000000000000001
O2,0,0,3,-1.8193146309936266e-07,-0.085
PO4,0,0,3,-1.0497868434254137e-06,-0.085
P4,0,0,3,-1.7924657090423739e-06,-0.085
P6,0,0,3,-9.121697283647556e-07,-0.085
P2,0,0,3,-1.9363190966625905e-06,-0.085
P1,0,0,3,-2.225941642559129e-06,-0.085
P3,0,0,3,-2.0173583289657327e-06,-0.085
P5,0,0,3,-9.196053739357698e-07,-0.085
PO3,0,0,3,-1.432883774701958e-06,-0.085
O1,0,0,3,-3.8069790142886885e-07,-0.085
Pz,0,0,3,-2.081662663651339e-06,-0.085
POz,0,0,3,-1.3469111061940587e-06,-0.085
Oz,0,0,3,-1.751797813273831e-07,-0.085
Iz,0,0,3,7.666576900033459e-07,-0.085
O2,0,0,4,-3.6866588187110257e-07,-0.08
PO4,0,0,4,-1.2380913388183297e-06,-0.08
P4,0,0,4,-1.8581335383511847e-06,-0.08
P6,0,0,4,-9.451434201622284e-07,-0.08
P2,0,0,4,-2.26431398070264e-06,-0.08
P1,0,0,4,-2.553530492101517e-06,-0.08
P3,0,0,4,-2.355525678073525e-06,-0.08
P5,0,0,4,-1.3774325148227694e-06,-0.08
PO3,0,0,4,-1.7878925008887321e-06,-0.08
O1,0,0,4,-7.497299473920521e-07,-0.08
Pz,0,0,4,-2.4700154050645854e-06,-0.08
POz,0,0,4,-1.667525910281904e-06,-0.08
Oz,0,0,4,-4.129105570320865e-07,-0.08
Iz,0,0,4,5.077233065644165e-07,-0.08
O2,0,0,5,-7.357705717227941e-07,-0.07500000000000001
PO4,0,0,5,-1.4567975489895178e-06,-0.07500000000000001
P4,0,0,5,-2.2630951025430114e-06,-0.07500000000000001
P6,0,0,5,-1.1079361096605422e-06,-0.07500000000000001
P2,0,0,5,-2.550110192763861e-06,-0.07500000000000001
P1,0,0,5,-2.713046551328672e-06,-0.07500000000000001
P3,0,0,5,-2.4279228175175686e-06,-0.07500000000000001
P5,0,0,5,-1.3760734249660622e-06,-0.07500000000000001
